,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
28200,10999,2012,gmc,yuko,excellent,204000.0,8 cylinders,gas,clean,automatic,4wd,SUV,grey,mn
28117,6900,2008,chevrolet,taho,good,245417.0,8 cylinders,gas,clean,automatic,4wd,SUV,red,mn
37462,6000,1995,gmc,sier,good,121000.0,8 cylinders,diesel,clean,manual,rwd,pickup,green,ny
26566,11850,2011,chevrolet,cama,excellent,126483.0,6 cylinders,gas,clean,manual,rwd,coupe,silver,mi
53062,8995,2010,dodge,jour,excellent,91158.0,6 cylinders,gas,clean,automatic,fwd,SUV,blue,wa
37864,7590,2008,toyota,rav4,good,125668.0,4 cylinders,gas,clean,automatic,4wd,SUV,blue,nh
22557,17000,2014,chrysler,3003,excellent,43400.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,la
3263,16590,2014,acura,rdxs,good,86919.0,6 cylinders,gas,clean,automatic,fwd,SUV,black,ca
6308,17688,2019,nissan,sent,good,41458.0,4 cylinders,gas,clean,automatic,fwd,sedan,red,ca
42024,16995,2004,ford,f250,excellent,172943.0,8 cylinders,diesel,clean,automatic,4wd,pickup,white,or
4245,14500,2008,bmw,650i,excellent,146200.0,8 cylinders,gas,clean,automatic,rwd,convertible,blue,ca
10430,11999,2013,fiat,500,good,29861.0,4 cylinders,gas,clean,manual,fwd,other,red,ct
37793,21000,2012,ford,tran,like new,38110.0,4 cylinders,gas,clean,automatic,fwd,van,white,nh
49,11500,2008,ford,f250,good,283356.0,8 cylinders,diesel,clean,automatic,rwd,pickup,white,al
15013,15900,2014,mercedes-benz,ccla,excellent,63514.0,4 cylinders,gas,clean,automatic,rwd,coupe,custom,fl
15262,19495,2013,porsche,caye,excellent,140000.0,6 cylinders,diesel,clean,automatic,4wd,SUV,silver,ga
21211,7750,2014,chevrolet,cruz,excellent,128872.0,4 cylinders,gas,clean,automatic,fwd,SUV,blue,ks
18785,6700,2004,pontiac,gran,good,61600.0,6 cylinders,gas,clean,automatic,fwd,sedan,black,in
46982,18800,2018,subaru,fore,like new,76460.0,4 cylinders,gas,clean,automatic,4wd,wagon,red,tn
35559,7995,2013,chevrolet,cruz,excellent,80324.0,4 cylinders,gas,clean,automatic,fwd,sedan,custom,ny
